BJDTDB,NF,NF_err
2456706.457,0.999981,0.000618
2456706.46,1.001675,0.000622
2456706.462,1.000027,0.000624
2456706.464,1.002899,0.000625
2456706.467,0.999533,0.000621
2456706.469,0.999566,0.000621
2456706.472,0.999932,0.000625
2456706.474,0.996839,0.000626
2456706.477,0.996812,0.000642
2456706.479,0.997519,0.000627
2456706.482,1.001923,0.000639
2456706.484,0.999696,0.000635
2456706.486,1.002193,0.000639
2456706.489,1.002603,0.000641
2456706.491,0.999456,0.000645
2456706.494,0.999943,0.000641
2456706.496,1.000613,0.000646
2456706.499,0.99743,0.000637
2456706.501,1.000364,0.00065
2456706.503,1.000858,0.000647
2456706.506,1.000905,0.000651
2456706.508,0.998495,0.000652
2456706.511,1.000109,0.000657
2456706.513,0.998922,0.000654
2456706.515,1.001397,0.000658
2456706.518,1.000373,0.000661
2456706.52,1.001433,0.00067
2456706.523,0.997547,0.000664
2456706.525,0.996903,0.000664
2456706.527,0.997614,0.000675
2456706.531,0.997232,0.000676
2456706.533,0.996234,0.000673
2456706.535,0.993619,0.000674
2456706.538,0.988669,0.000672
2456706.54,0.986629,0.000678
2456706.546,0.988376,0.000686
2456706.549,0.986663,0.000686
2456706.551,0.987732,0.00069
2456706.553,0.984354,0.000687
2456706.556,0.986446,0.000692
2456706.559,0.985314,0.000695
2456706.561,0.986929,0.000696
2456706.563,0.98754,0.000698
2456706.566,0.985172,0.000698
2456706.568,0.983931,0.000703
2456706.571,0.984257,0.000703
2456706.573,0.985156,0.000704
2456706.576,0.984536,0.000704
2456706.578,0.983296,0.000701
2456706.58,0.98216,0.000702
2456706.584,0.986896,0.000703
2456706.586,0.985572,0.000707
2456706.588,0.987694,0.000709
2456706.591,0.986257,0.00071
2456706.593,0.984657,0.000711
2456706.596,0.982856,0.000707
2456706.598,0.984529,0.000716
2456706.6,0.984622,0.000713
2456706.603,0.985848,0.000717
2456706.605,0.987254,0.00072
2456706.608,0.984447,0.00072
2456706.61,0.987626,0.000725
2456706.613,0.989269,0.000729
2456706.615,0.986531,0.000727
2456706.618,0.987674,0.00073
2456706.62,0.987921,0.000729
2456706.622,0.989648,0.000737
2456706.625,0.988087,0.00073
2456706.627,0.98907,0.000747
2456706.629,0.987785,0.00074
2456706.632,0.992093,0.000751
2456706.634,0.993264,0.00075
2456706.637,0.996617,0.000757
2456706.639,0.994582,0.000756
2456706.641,0.998959,0.000762
2456706.644,0.996212,0.000762
2456706.646,1.003066,0.000773
2456706.649,0.998516,0.000773
2456706.651,0.998499,0.000781
2456706.653,0.999981,0.000618
2456706.656,1.001675,0.000622
2456706.658,1.000027,0.000624
2456706.66,1.002899,0.000625
2456706.662,0.999533,0.000621
2456706.665,0.999566,0.000621
2456706.667,0.999932,0.000625
2456706.669,0.999839,0.000626
2456706.672,0.999812,0.000642
2456706.674,0.999519,0.000627
2456706.676,1.001923,0.000639
2456706.679,1.000364,0.00065
2456706.681,1.000858,0.000647
2456706.683,1.000905,0.000651
